car_id,car_code,area_ha,irsa_score,restriction_score,restriction_class,climate_score,climate_class,stress_hidrico_idx,iesc_score,risk_class,current_risk,climate_risk,prospective_risk,evidence_confidence,recommendation,main_drivers
CAR_01,RS431940647EE57C13C9749C7994C7046FA96E109,15.28205432669016,0.0,0.0,Baixo,37.0,Médio,0.37,0.0,Baixo,Baixo: sem evidência objetiva relevante,Médio: estresse hídrico municipal moderado (AdaptaBrasil 37%),Baixo: estresse hídrico moderado no município (37%),Alta,"Fluxo normal de triagem, com monitoramento periódico.",Nenhuma restrição objetiva identificada
CAR_02,PR4109401014658F643104BEAAF9A030A42F1D57A,160.7464477953206,36.74,36.74,Médio,41.0,Médio,0.41,36.74,Médio,"Médio: sobreposição UC, sobreposição APP (FBDS), desmatamento identificado",Médio: estresse hídrico municipal moderado (AdaptaBrasil 41%),Médio: desmatamento recente no imóvel; APP FBDS mapeada (restrição de uso); estresse hídrico moderado no município (41%),Média,"Análise complementar, condicionante e monitoramento recorrente.",UC (94.4%); APP (FBDS) (12.1%); Desmatamento (6.7%)
CAR_03,MT5103254B043C12A67EA4522B06A3CF62467D760,101.320769906011,15.0,15.0,Baixo,63.0,Alto,0.63,15.0,Baixo,Médio: sobreposição APP (FBDS),Alto: estresse hídrico municipal elevado (AdaptaBrasil 63%),Médio: APP FBDS mapeada (restrição de uso); região ambientalmente sensível; estresse hídrico elevado no município (63%),Alta,"Fluxo normal de triagem, com monitoramento periódico.",APP (FBDS) (12.4%)
CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,8975.967456135635,64.89,64.89,Alto,49.0,Médio,0.49,64.89,Alto,"Alto: embargo ativo, sobreposição UC, sobreposição APP (FBDS), desmatamento identificado",Médio: estresse hídrico municipal moderado (AdaptaBrasil 49%),Médio: desmatamento recente no imóvel; APP FBDS mapeada (restrição de uso); região ambientalmente sensível; estresse hídrico moderado no município (49%),Alta,Diligência e revisão de conformidade antes da decisão de crédito.,Embargo (10.6%); UC (24.9%); APP (FBDS) (6.4%); Desmatamento (5.2%)
