evidence_id,car_id,car_code,theme,source_name,source_url,download_date,source_version,geometry_operation,area_ha,percent_of_property,confidence,interpretation,limitation,created_at
EV-CAR04-IBAMA-007,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,IBAMA / PAMGIA,https://pamgia.ibama.gov.br/geoservicos/arquivos/adm_embargo_ibama_a.shp.zip,2026-06-14,,intersection,0.0003,0.0,Alta,Sobreposição de 0.00 ha (0.00%) com Embargos IBAMA.,,2026-06-14T20:50:56.109523+00:00
EV-CAR04-IBAMA-008,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,IBAMA / PAMGIA,https://pamgia.ibama.gov.br/geoservicos/arquivos/adm_embargo_ibama_a.shp.zip,2026-06-14,,intersection,44.0379,0.4906,Alta,Sobreposição de 44.04 ha (0.49%) com Embargos IBAMA.,,2026-06-14T20:50:56.136834+00:00
EV-CAR04-IBAMA-009,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,IBAMA / PAMGIA,https://pamgia.ibama.gov.br/geoservicos/arquivos/adm_embargo_ibama_a.shp.zip,2026-06-14,,intersection,6.9045,0.0769,Alta,Sobreposição de 6.90 ha (0.08%) com Embargos IBAMA.,,2026-06-14T20:50:56.162761+00:00
EV-CAR04-IBAMA-010,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,IBAMA / PAMGIA,https://pamgia.ibama.gov.br/geoservicos/arquivos/adm_embargo_ibama_a.shp.zip,2026-06-14,,intersection,74.5586,0.8306,Alta,Sobreposição de 74.56 ha (0.83%) com Embargos IBAMA.,,2026-06-14T20:50:56.186698+00:00
EV-CAR04-IBAMA-011,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,IBAMA / PAMGIA,https://pamgia.ibama.gov.br/geoservicos/arquivos/adm_embargo_ibama_a.shp.zip,2026-06-14,,intersection,79.276,0.8832,Alta,Sobreposição de 79.28 ha (0.88%) com Embargos IBAMA.,,2026-06-14T20:50:56.212628+00:00
EV-CAR04-IBAMA-012,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,IBAMA / PAMGIA,https://pamgia.ibama.gov.br/geoservicos/arquivos/adm_embargo_ibama_a.shp.zip,2026-06-14,,intersection,81.0407,0.9029,Alta,Sobreposição de 81.04 ha (0.90%) com Embargos IBAMA.,,2026-06-14T20:50:56.241550+00:00
EV-CAR04-IBAMA-013,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,IBAMA / PAMGIA,https://pamgia.ibama.gov.br/geoservicos/arquivos/adm_embargo_ibama_a.shp.zip,2026-06-14,,intersection,0.0,0.0,Média,Sobreposição de 0.00 ha (0.00%) com Embargos IBAMA.,,2026-06-14T20:50:56.269500+00:00
EV-CAR04-IBAMA-014,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,IBAMA / PAMGIA,https://pamgia.ibama.gov.br/geoservicos/arquivos/adm_embargo_ibama_a.shp.zip,2026-06-14,,intersection,13.7632,0.1533,Alta,Sobreposição de 13.76 ha (0.15%) com Embargos IBAMA.,,2026-06-14T20:50:56.297401+00:00
EV-CAR04-IBAMA-015,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,IBAMA / PAMGIA,https://pamgia.ibama.gov.br/geoservicos/arquivos/adm_embargo_ibama_a.shp.zip,2026-06-14,,intersection,6.584,0.0734,Alta,Sobreposição de 6.58 ha (0.07%) com Embargos IBAMA.,,2026-06-14T20:50:56.323331+00:00
EV-CAR04-IBAMA-016,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,IBAMA / PAMGIA,https://pamgia.ibama.gov.br/geoservicos/arquivos/adm_embargo_ibama_a.shp.zip,2026-06-14,,intersection,49.4062,0.5504,Alta,Sobreposição de 49.41 ha (0.55%) com Embargos IBAMA.,,2026-06-14T20:50:56.348892+00:00
EV-CAR04-IBAMA-017,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,IBAMA / PAMGIA,https://pamgia.ibama.gov.br/geoservicos/arquivos/adm_embargo_ibama_a.shp.zip,2026-06-14,,intersection,14.8276,0.1652,Alta,Sobreposição de 14.83 ha (0.17%) com Embargos IBAMA.,,2026-06-14T20:50:56.372825+00:00
EV-CAR04-IBAMA-018,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,IBAMA / PAMGIA,https://pamgia.ibama.gov.br/geoservicos/arquivos/adm_embargo_ibama_a.shp.zip,2026-06-14,,intersection,48.1169,0.5361,Alta,Sobreposição de 48.12 ha (0.54%) com Embargos IBAMA.,,2026-06-14T20:50:56.397762+00:00
EV-CAR04-IBAMA-019,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,IBAMA / PAMGIA,https://pamgia.ibama.gov.br/geoservicos/arquivos/adm_embargo_ibama_a.shp.zip,2026-06-14,,intersection,32.0315,0.3569,Alta,Sobreposição de 32.03 ha (0.36%) com Embargos IBAMA.,,2026-06-14T20:50:56.429674+00:00
EV-CAR04-IBAMA-020,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,IBAMA / PAMGIA,https://pamgia.ibama.gov.br/geoservicos/arquivos/adm_embargo_ibama_a.shp.zip,2026-06-14,,intersection,22.79,0.2539,Alta,Sobreposição de 22.79 ha (0.25%) com Embargos IBAMA.,,2026-06-14T20:50:56.456602+00:00
EV-CAR04-IBAMA-021,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,IBAMA / PAMGIA,https://pamgia.ibama.gov.br/geoservicos/arquivos/adm_embargo_ibama_a.shp.zip,2026-06-14,,intersection,9.7603,0.1087,Alta,Sobreposição de 9.76 ha (0.11%) com Embargos IBAMA.,,2026-06-14T20:50:56.483530+00:00
EV-CAR04-IBAMA-022,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,IBAMA / PAMGIA,https://pamgia.ibama.gov.br/geoservicos/arquivos/adm_embargo_ibama_a.shp.zip,2026-06-14,,intersection,22.5647,0.2514,Alta,Sobreposição de 22.56 ha (0.25%) com Embargos IBAMA.,,2026-06-14T20:50:56.508823+00:00
EV-CAR04-IBAMA-023,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,IBAMA / PAMGIA,https://pamgia.ibama.gov.br/geoservicos/arquivos/adm_embargo_ibama_a.shp.zip,2026-06-14,,intersection,29.9146,0.3333,Alta,Sobreposição de 29.91 ha (0.33%) com Embargos IBAMA.,,2026-06-14T20:50:56.537747+00:00
EV-CAR04-IBAMA-024,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,IBAMA / PAMGIA,https://pamgia.ibama.gov.br/geoservicos/arquivos/adm_embargo_ibama_a.shp.zip,2026-06-14,,intersection,15.4808,0.1725,Alta,Sobreposição de 15.48 ha (0.17%) com Embargos IBAMA.,,2026-06-14T20:50:56.561682+00:00
EV-CAR04-IBAMA-025,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,IBAMA / PAMGIA,https://pamgia.ibama.gov.br/geoservicos/arquivos/adm_embargo_ibama_a.shp.zip,2026-06-14,,intersection,25.459,0.2836,Alta,Sobreposição de 25.46 ha (0.28%) com Embargos IBAMA.,,2026-06-14T20:50:56.586615+00:00
EV-CAR04-IBAMA-026,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,embargos,IBAMA / PAMGIA,https://pamgia.ibama.gov.br/geoservicos/arquivos/adm_embargo_ibama_a.shp.zip,2026-06-14,,intersection,25.6727,0.286,Alta,Sobreposição de 25.67 ha (0.29%) com Embargos IBAMA.,,2026-06-14T20:50:56.610573+00:00
EV-CAR01-TI-001,CAR_01,RS431940647EE57C13C9749C7994C7046FA96E109,terras_indigenas,FUNAI,https://geoserver.funai.gov.br/geoserver/Funai/ows,2026-06-14,,intersection,0.0,0.0,Alta,Não foi identificada sobreposição com terras_indigenas na área do imóvel.,Ausência de interseção não exclui riscos fora do perímetro analisado.,2026-06-14T20:50:56.794060+00:00
EV-CAR02-TI-001,CAR_02,PR4109401014658F643104BEAAF9A030A42F1D57A,terras_indigenas,FUNAI,https://geoserver.funai.gov.br/geoserver/Funai/ows,2026-06-14,,intersection,0.0,0.0,Alta,Não foi identificada sobreposição com terras_indigenas na área do imóvel.,Ausência de interseção não exclui riscos fora do perímetro analisado.,2026-06-14T20:50:56.819006+00:00
EV-CAR03-TI-001,CAR_03,MT5103254B043C12A67EA4522B06A3CF62467D760,terras_indigenas,FUNAI,https://geoserver.funai.gov.br/geoserver/Funai/ows,2026-06-14,,intersection,0.0,0.0,Alta,Não foi identificada sobreposição com terras_indigenas na área do imóvel.,Ausência de interseção não exclui riscos fora do perímetro analisado.,2026-06-14T20:50:56.844924+00:00
EV-CAR04-TI-002,CAR_04,MT5101407324C35ED3C454FE3AA26F7AC45E282C0,terras_indigenas,FUNAI,https://geoserver.funai.gov.br/geoserver/Funai/ows,2026-06-14,,intersection,0.0,0.0,Alta,Não foi identificada sobreposição com terras_indigenas na área do imóvel.,Ausência de interseção não exclui riscos fora do perímetro analisado.,2026-06-14T20:50:56.872877+00:00
